"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C506","CAP0603N","1595mil","1569.498mil","1595mil","1538.002mil","1595mil","1538.002mil","T","90.00","0.1uF"
"U501","LQFP-64","1849.496mil","1332.583mil","1849.496mil","1332.583mil","1630.992mil","1480.22mil","T","0.00","STM32F303RE(B)T6"
"S502","KEY-4.5","1658.944mil","739.016mil","1717.998mil","863.032mil","1718mil","615mil","T","270.00","NC/SW-PB"
"S501","KEY-4.5","3421.056mil","904.984mil","3362.002mil","780.968mil","3362.002mil","780.968mil","T","90.00","NC/SW-PB"
"R509","RES0603N","2194mil","1001.503mil","2194mil","1034.968mil","2194mil","1034.968mil","T","270.00","0R"
"R508","RES0603N","2138mil","1001.503mil","2138mil","1034.968mil","2138mil","1034.968mil","T","270.00","0R"
"R507","RES0603N","2082mil","1001.503mil","2082mil","1034.968mil","2082mil","1034.968mil","T","270.00","0R"
"R506","RES0603N","3597.535mil","1038mil","3631mil","1038mil","3631mil","1038mil","T","180.00","NC/4K7"
"R505","RES0603N","3597.535mil","1091mil","3631mil","1091mil","3631mil","1091mil","T","180.00","NC/4K7"
"R504","RES0603N","1822mil","1686.465mil","1822mil","1653mil","1822mil","1653mil","T","90.00","4K7"
"R503","RES0603N","1951mil","1686.465mil","1951mil","1719.93mil","1951mil","1719.93mil","T","270.00","10K"
"R502","RES0603N","1601mil","984.465mil","1601mil","1017.93mil","1601mil","1017.93mil","T","270.00","10K"
"R501","RES0603N","3284mil","801.465mil","3284mil","768mil","3284mil","768mil","T","90.00","10K"
"R419","RES0603N","1762mil","1686.465mil","1762mil","1719.93mil","1762mil","1719.93mil","T","270.00","0R"
"R418","RES0603N","1670.492mil","2155mil","1703.957mil","2155mil","1703.957mil","2155mil","T","180.00","0R"
"R417","RES0603N","3426.465mil","2374mil","3459.93mil","2374mil","3459.93mil","2374mil","T","180.00","4K7"
"R416","RES0603N","3426.465mil","2309.666mil","3459.93mil","2309.666mil","3459.93mil","2309.666mil","T","180.00","4K7"
"R415","RES0603N","3426.465mil","2245.333mil","3459.93mil","2245.333mil","3459.93mil","2245.333mil","T","180.00","4K7"
"R414","RES0603N","3426.465mil","2181mil","3459.93mil","2181mil","3459.93mil","2181mil","T","180.00","1K"
"P501","JST_SH_4_Pin_Side_Entry","3807.212mil","1068.237mil","3731.424mil","1009.182mil","3731.424mil","1009.182mil","T","270.00","NC/Header 4"
"C505","CAP0603N","1995mil","1001.504mil","1995mil","970.008mil","1995mil","970.008mil","T","90.00","0.1uF"
"C504","CAP0603N","1535mil","1357.504mil","1535mil","1389mil","1535mil","1389mil","T","270.00","0.1uF"
"C503","CAP0603N","1535mil","1569.496mil","1535mil","1600.992mil","1535mil","1600.992mil","T","270.00","0.1uF"
"C502","CAP0603N","2114.496mil","1568mil","2145.992mil","1568mil","2145.992mil","1568mil","T","180.00","0.1uF"
"C501","CAP0603N","1717mil","984.466mil","1717mil","952.97mil","1717mil","952.97mil","T","90.00","0.1uF"
"D205","0603_LED","1926.5mil","1945mil","1923mil","1945mil","1893mil","1945mil","T","0.00","blue-LED"
"R109","RES0603N","720.505mil","2266.398mil","753.97mil","2266.398mil","753.97mil","2266.398mil","T","180.00","10K"
"P101","JST_SH_8_Pin_Side_Entry","2358.205mil","2640.788mil","2496mil","2565mil","2496mil","2565mil","T","0.00","JST SH 8 Pin Side Entry"
"L403","CD43","3003mil","619.976mil","3003mil","556mil","3003mil","556mil","T","90.00","2.2uH"
"L402","CD43","2779.976mil","965mil","2716mil","965mil","2716mil","965mil","T","0.00","2.2uH"
"L401","CD43","183.22mil","2440.976mil","183.22mil","2377mil","183.22mil","2377mil","T","90.00","2.2uH"
"Y201","CX3225SB","2114.583mil","1741.213mil","2151mil","1692mil","2151mil","1692mil","T","90.00","27MHz"
"U201","QFN76-9*9","2718.2mil","1604.3mil","2545mil","1746mil","2545mil","1746mil","T","270.00","GSV2001"
"R413","RES0603N","3169.535mil","558mil","3203mil","558mil","3203mil","558mil","T","180.00","30K"
"R412","RES0603N","3101mil","2387.465mil","3101mil","2354mil","3101mil","2354mil","T","90.00","NC/680R"
"R411","RES0603N","3042mil","2387.465mil","3042mil","2354mil","3042mil","2354mil","T","90.00","NC/680R"
"R410","RES0603N","3169.535mil","622mil","3136.07mil","622mil","3136.07mil","622mil","T","0.00","135K"
"R409","RES0603N","3169.535mil","682mil","3136.07mil","682mil","3136.07mil","682mil","T","0.00","0R"
"R408","RES0603N","2698.535mil","808mil","2732mil","808mil","2732mil","808mil","T","180.00","30K"
"R407","RES0603N","2844.535mil","808mil","2878mil","808mil","2878mil","808mil","T","180.00","60K"
"R406","RES0603N","320mil","2306.535mil","320mil","2340mil","320mil","2340mil","T","270.00","30K"
"R405","RES0603N","320mil","2446.535mil","320mil","2480mil","320mil","2480mil","T","270.00","30K"
"R307","RES0603N","1225mil","632.505mil","1225mil","665.97mil","1225mil","665.97mil","T","270.00","NC/0R"
"R306","RES0603N","1163mil","632.505mil","1163mil","665.97mil","1163mil","665.97mil","T","270.00","NC/0R"
"R241","RES0603N","3174mil","2166.465mil","3174mil","2199.93mil","3174mil","2199.93mil","T","270.00","4K7"
"R240","RES0603N","3032mil","2166.465mil","3032mil","2133mil","3032mil","2133mil","T","90.00","4K7"
"R239","RES0603N","1981.535mil","2204.8mil","1948.07mil","2204.8mil","1948.07mil","2204.8mil","T","0.00","0R"
"R238","RES0603N","1981.535mil","2153mil","1948.07mil","2153mil","1948.07mil","2153mil","T","0.00","0R"
